"AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
388978,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=388978","Haliotrema angelopterum","Plaisance, Bouamer & Morand, 2004","accepted",NA,220,"Species",388978,"Haliotrema angelopterum","Plaisance, Bouamer & Morand, 2004",119284,"Animalia","Platyhelminthes","Monogenea","Dactylogyridea","Ancyrocephalidae","Haliotrema","WoRMS (2024). Haliotrema angelopterum Plaisance, Bouamer & Morand, 2004. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=388978 on 2024-04-07","urn:lsid:marinespecies.org:taxname:388978",1,NA,NA,NA,NA,"like","2010-09-14T13:04:11.787Z"
220914,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=220914","Candacia simplex","(Giesbrecht, 1889)","accepted",NA,220,"Species",220914,"Candacia simplex","(Giesbrecht, 1889)",104157,"Animalia","Arthropoda","Copepoda","Calanoida","Candaciidae","Candacia","Walter, T.C.; Boxshall, G. (2024). World of Copepods Database. Candacia simplex (Giesbrecht, 1889). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=220914 on 2024-04-07","urn:lsid:marinespecies.org:taxname:220914",1,0,0,0,NA,"like","2008-07-07T06:46:40.767Z"
256918,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=256918","Limnoria unicornis","Menzies, 1957","accepted",NA,220,"Species",256918,"Limnoria unicornis","Menzies, 1957",118420,"Animalia","Arthropoda","Malacostraca","Isopoda","Limnoriidae","Limnoria","Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Limnoria unicornis Menzies, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=256918 on 2024-04-07","urn:lsid:marinespecies.org:taxname:256918",1,0,0,0,0,"like","2008-01-03T13:02:48.367Z"
444400,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=444400","Zozymodes pumilus","(Hombron & Jacquinot, 1846)","accepted",NA,220,"Species",444400,"Zozymodes pumilus","(Hombron & Jacquinot, 1846)",206797,"Animalia","Arthropoda","Malacostraca","Decapoda","Xanthidae","Zozymodes","DecaNet eds. (2024). DecaNet. Zozymodes pumilus (Hombron & Jacquinot, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=444400 on 2024-04-07","urn:lsid:marinespecies.org:taxname:444400",1,0,0,0,0,"like","2022-05-13T08:15:22.193Z"
104503,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=104503","Clausocalanus furcatus","(Brady, 1883)","accepted",NA,220,"Species",104503,"Clausocalanus furcatus","(Brady, 1883)",104161,"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Walter, T.C.; Boxshall, G. (2024). World of Copepods Database. Clausocalanus furcatus (Brady, 1883). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104503 on 2024-04-07","urn:lsid:marinespecies.org:taxname:104503",1,0,0,0,NA,"like","2004-12-21T15:54:05Z"
1255194,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1255194","Mimachlamys punctata","(Gmelin, 1791)","accepted",NA,220,"Species",1255194,"Mimachlamys punctata","(Gmelin, 1791)",236718,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Mimachlamys","MolluscaBase eds. (2024). MolluscaBase. Mimachlamys punctata (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1255194 on 2024-04-07","urn:lsid:marinespecies.org:taxname:1255194",1,0,0,0,NA,"like","2018-05-26T05:44:41.593Z"
955311,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=955311","Tubuca coarctata","(H. Milne Edwards, 1852)","accepted",NA,220,"Species",955311,"Tubuca coarctata","(H. Milne Edwards, 1852)",955064,"Animalia","Arthropoda","Malacostraca","Decapoda","Ocypodidae","Tubuca","DecaNet eds. (2024). DecaNet. Tubuca coarctata (H. Milne Edwards, 1852). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=955311 on 2024-04-07","urn:lsid:marinespecies.org:taxname:955311",1,NA,NA,NA,0,"like","2021-03-03T14:17:24.823Z"
212922,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=212922","Cinetorhynchus hiatti","(Holthuis & Hayashi, 1967)","accepted",NA,220,"Species",212922,"Cinetorhynchus hiatti","(Holthuis & Hayashi, 1967)",107017,"Animalia","Arthropoda","Malacostraca","Decapoda","Rhynchocinetidae","Cinetorhynchus","DecaNet eds. (2024). DecaNet. Cinetorhynchus hiatti (Holthuis & Hayashi, 1967). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=212922 on 2024-04-07","urn:lsid:marinespecies.org:taxname:212922",1,0,0,0,0,"like","2022-02-18T06:18:09.737Z"
1467100,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1467100","Trierarchus corrugatus","(Stephenson & Rees, 1961)","superseded combination",NA,220,"Species",208850,"Thalamita corrugata","Stephenson & Rees, 1961",1467096,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Trierarchus","DecaNet eds. (2024). DecaNet. Trierarchus corrugatus (Stephenson & Rees, 1961). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1467100 on 2024-04-07","urn:lsid:marinespecies.org:taxname:1467100",1,0,0,0,0,"like","2023-03-01T22:24:58.053Z"
413970,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=413970","Cryptoblepharus boutonii","(Des Jardins, 1831)","accepted",NA,220,"Species",413970,"Cryptoblepharus boutonii","(Des Jardins, 1831)",205864,"Animalia","Chordata",NA,"Squamata","Scincidae","Cryptoblepharus","Uetz, P. (ed.) (2024). The Reptile Database. Cryptoblepharus boutonii (Des Jardins, 1831). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=413970 on 2024-04-07","urn:lsid:marinespecies.org:taxname:413970",1,NA,NA,1,NA,"like","2010-02-06T11:38:45.083Z"
