"acceptedScientificName","V2","isMarine","isFreshwater","isTerrestrial","isBrackish"
"Achaea janata (Linnaeus, 1758)","Catalogue of Life Checklist",NA,NA,1,NA
"Piletocera fluctualis Fabricius, 1787","Catalogue of Life Checklist",NA,NA,1,NA
"Chasmina candida (Walker, 1865)","Catalogue of Life Checklist",NA,NA,1,NA
"Scoparia psednopa Meyrick, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Hyalobathra variabilis Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Herpetogramma licarsisalis (Walker, 1859)","Catalogue of Life Checklist",NA,NA,1,NA
"Dudua aprobola (Meyrick, 1886)","Catalogue of Life Checklist",NA,NA,1,NA
"Chrysodeixis eriosoma (Doubleday, 1843)","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa iochorda Meyrick, 1926","Catalogue of Life Checklist",NA,NA,1,NA
"Utetheisa pulchella Linnaeus, 1758","Catalogue of Life Checklist",NA,NA,1,NA
"Erechthias simulans (Butler, 1882)","Catalogue of Life Checklist",NA,NA,1,NA
"Diasemiopsis ramburialis (Duponchel, 1834)","Catalogue of Life Checklist",NA,NA,1,NA
"Cleora stenoglypta Prout, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Anthophila chelaspis (Meyrick, 1929)","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa phalaranthes Meyrick, 1934","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa amorpha Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Vagrans egista (Cramer, 1780)","Catalogue of Life Checklist",NA,NA,1,NA
"Hypolimnas bolina (Linnaeus, 1758)","Catalogue of Life Checklist",NA,NA,1,NA
"Eudocima phalonia (Linnaeus, 1763)","Catalogue of Life Checklist",NA,NA,1,NA
"Megachile umbripennis Smith, 1853","Catalogue of Life Checklist",NA,NA,1,NA
"Ptilinopus coralensis Peale, 1849","Catalogue of Life Checklist",NA,NA,1,NA
"Todiramphus veneratus (J.F.Gmelin, 1788)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Acrocephalus atyphus (Wetmore, 1919)","Catalogue of Life Checklist",NA,NA,1,NA
"Aechmorhynchus parvirostris (Peale, 1848)","Catalogue of Life Checklist",NA,NA,1,NA
"Porzana tabuensis (Gmelin, 1789)","Catalogue of Life Checklist",NA,NA,1,NA
"Vini peruviana (Statius Muller, 1776)","Catalogue of Life Checklist",NA,NA,1,NA
"Acrocephalus caffer (Sparrman, 1786)","Catalogue of Life Checklist",NA,NA,1,NA
"Ploceus melanocephalus (Linnaeus, 1758)","Catalogue of Life Checklist",NA,NA,1,NA
"Ramphocelus carbo (Pallas, 1764)","Catalogue of Life Checklist",NA,NA,1,NA
"Hirundo tahitica Gmelin, 1789","Catalogue of Life Checklist",NA,NA,1,NA
"Urodynamis taitensis (Sparrman, 1787)","Catalogue of Life Checklist",NA,NA,1,NA
"Aerodramus ocistus (Oberholser, 1906)","Catalogue of Life Checklist",NA,NA,1,NA
"Idiacanthus panamensis Regan & Trewavas, 1930","GBIF Backbone Taxonomy",1,NA,NA,NA
"Leptocephalus holti Schmidt, 1909","Integrated Taxonomic Information SystemITIS",1,NA,NA,NA
"Ptilinopus dupetithouarsii (N̩boux, 1840)","Catalogue of Life Checklist",NA,NA,1,NA
"Pomarea iphis Murphy & Mathews, 1928","Catalogue of Life Checklist",NA,NA,1,NA
"Coridromius taravao Tatarnic & Cassis, 2013","GBIF Backbone Taxonomy",NA,NA,1,NA
"Hemidactylus frenatus Dum̩ril & Bibron, 1836","Catalogue of Life Checklist",NA,NA,1,NA
"Tubastraea coccinea Lesson, 1830","Catalogue of Life Checklist",NA,NA,1,NA
"Acanthurus rhombeus von Kittlitz, 1834","GBIF Backbone Taxonomy",1,NA,NA,NA
"Odostomia striata (A.E.Verrill, 1880)","GBIF Backbone Taxonomy",1,NA,NA,NA
"Phascolosoma agassizii Keferstein, 1866","Integrated Taxonomic Information SystemITIS",1,NA,NA,NA
"Bactrocera tryoni (Froggatt, 1897)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Liriomyza sativae Blanchard, 1938","Catalogue of Life Checklist",NA,NA,1,NA
"Tapinoma melanocephalum (Fabricius, 1793)","Catalogue of Life Checklist",NA,NA,1,NA
"Pachodynerus nasidens (Latreille, 1812)","Catalogue of Life Checklist",NA,NA,1,NA
"Olla v-nigrum (Mulsant, 1866)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Hippotion celerio Linnaeus, 1758","Catalogue of Life Checklist",NA,NA,1,NA
"Ananca bicolor (Fairmaire, 1849)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Phintelloides versicolor (C.L.Koch, 1846)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Ducula galeata (Bonaparte, 1855)","Catalogue of Life Checklist",NA,NA,1,NA
"Anterhynchium rufipes (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Sticholotis ruficeps Weise, 1902","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Liocheles australasiae (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Pomarea nigra (Sparrman, 1786)","Catalogue of Life Checklist",NA,NA,1,NA
"Maliattha ritsemae (Snellen, 1880)","Catalogue of Life Checklist",NA,NA,1,NA
"Gonocephalum adpressiforme Kaszab, 1951","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Chelisoches morio (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Oxycarenus luctuosus (Montrouzier, 1861)","Catalogue of Life Checklist",NA,NA,1,NA
"Placosternus crinicornis (Chevrolat, 1860)","Catalogue of Life Checklist",NA,NA,1,NA
"Jordanthribus planifacietus Zimmerman, 1938","Catalogue of Life Checklist",NA,NA,1,NA
"Scymnodes lividigaster (Mulsant, 1853)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Agapornis personatus Reichenow, 1887","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes ochrogramma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Trioza bimaculata Tuthill, 1942","Catalogue of Life Checklist",NA,NA,1,NA
"Ctenarytaina remota Tuthill, 1956","Catalogue of Life Checklist",NA,NA,1,NA
"Clarkeophlebia argentea (J.F.G.Clarke, 1986)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Carposina apousia Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Aegomorphus quadrigibbus Say, 1831","GBIF Backbone Taxonomy",NA,NA,1,NA
"Belionota prasina (Thunberg, 1789)","Catalogue of Life Checklist",NA,NA,1,NA
"Teleogryllus oceanicus (Le Guillou, 1841)","Catalogue of Life Checklist",NA,NA,1,NA
"Hyperaspis silvestrii Weise, 1909","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Oxydema longulum Zimmerman, 1940","Catalogue of Life Checklist",NA,NA,1,NA
"Rhynchium quinquecinctum (Fabricius, 1787)","Catalogue of Life Checklist",NA,NA,1,NA
"Conocephalus saltator (Saussure, 1859)","Catalogue of Life Checklist",NA,NA,1,NA
"Anoplolepis gracilipes (Smith, 1857)","Catalogue of Life Checklist",NA,NA,1,NA
"Daphnis nerii Linnaeus, 1758","Catalogue of Life Checklist",NA,NA,1,NA
"Ornidia obesa (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Brentus cylindrus Lund, 1800","Catalogue of Life Checklist",NA,NA,1,NA
"Glycyphana bimaculata Kraatz, 1885","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Ptilinopus chalcurus G.R.Gray, 1860","GBIF Backbone Taxonomy",NA,NA,1,NA
"Cardiocondyla wroughtonii (Forel, 1890)","Catalogue of Life Checklist",NA,NA,1,NA
"Henosepilachna vigintioctopunctata (Fabricius, 1775)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Dinema filicornis Fairmaire, 1849","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes phalarogramma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Imma feaniensis Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Asymphorodes mediostriatus Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Tritopterna eocnephaea (Meyrick, 1935)","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes nigricornis Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
